,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
16,0.177119349,0.120896676,0.119649711,0.119740031,0.087937177,0.101417398,0.230122498,0.38865014,0.547636193,0.696344623,0.830578873,0.949369065,1.053384495,1.144049364
17,0.001738722,0.017049582,0.13342208,0.283841421,0.427768875,0.545390823,0.6339677,0.697786689,0.742424393,0.772951367,0.793506675,0.8072478,0.816440672,0.822616319
18,0.062609021,0.012888087,0.064712967,0.151112843,0.236182456,0.304738222,0.355817427,0.392867373,0.419672033,0.439571395,0.455292479,0.468862882,0.481621871,0.494320677
19,0.000709089,0.014091227,0.117469698,0.252091269,0.377472953,0.475274701,0.54734962,0.601991489,0.646508081,0.685910498,0.72334967,0.760658476,0.798753581,0.837929668
20,0.130477134,0.14792277,0.169882297,0.191242168,0.202293866,0.203758333,0.201133107,0.198500847,0.197749699,0.199317968,0.202783713,0.207276025,0.211788129,0.215394576
21,0.236737556,0.221315386,0.315749857,0.439027609,0.552687814,0.639742218,0.702093131,0.746667629,0.779866807,0.807380141,0.834613176,0.8664959,0.906854978,0.957844789
22,0.106929524,0.069660604,0.143708538,0.261511993,0.380468249,0.478795556,0.552250835,0.60385314,0.638062057,0.659022586,0.670173925,0.674198903,0.673091357,0.668281383
23,0.144505753,0.166345337,0.183634346,0.196506561,0.197066581,0.186345259,0.169933465,0.152282924,0.135862165,0.121718561,0.109944438,0.100039675,0.091225547,0.082686083
24,0.127834263,0.108648553,0.201050152,0.3404875,0.484893956,0.612529982,0.719321689,0.808341378,0.883807857,0.94934756,1.007700993,1.060775127,1.109788623,1.155444554
25,0.046938251,0.048430098,0.054208241,0.06074675,0.059390195,0.051003457,0.040484694,0.031019483,0.023681442,0.01838558,0.014515439,0.011262107,0.007829986,0.00356018
26,0.053430751,0.081453326,0.109157027,0.134029559,0.147392811,0.150963025,0.151091185,0.152132571,0.155681989,0.161579568,0.16875538,0.175805378,0.181377409,0.184394992
